Date,Crude_Price,USD_Currency_Index,US_Inflation_Rate,US_Inflation,US_CPI
01/07/14,107.46,79.79,2.1%,0.021,237.50
01/08/14,102.40,81.45,2.0%,0.020,237.46
01/09/14,97.85,82.76,1.7%,0.017,237.48
01/10/14,87.58,85.91,1.7%,0.017,237.43
01/11/14,79.23,87.08,1.7%,0.017,236.98
01/12/14,62.90,88.23,1.3%,0.013,236.25
01/01/15,48.93,90.36,0.8%,0.008,234.75
01/02/15,58.25,94.84,-0.1%,-0.001,235.34
01/03/15,56.52,95.26,0.0%,0.000,235.98
01/04/15,59.83,98.42,-0.1%,-0.001,236.22
01/05/15,65.19,94.83,-0.2%,-0.002,237.00
01/06/15,62.62,96.89,0.0%,0.000,237.66
01/07/15,56.83,95.60,0.1%,0.001,238.03
01/08/15,47.53,97.22,0.2%,0.002,238.03
01/09/15,48.03,95.93,0.2%,0.002,237.50
01/10/15,48.91,96.27,0.0%,0.000,237.73
01/11/15,45.10,96.92,0.2%,0.002,238.02
01/12/15,38.53,100.25,0.5%,0.005,237.76
01/01/16,32.05,98.69,0.7%,0.007,237.65
01/02/16,33.76,99.54,1.4%,0.014,237.34
01/03/16,39.79,98.18,1.0%,0.010,238.08
01/04/16,43.33,94.64,0.9%,0.009,238.99
01/05/16,47.74,93.02,1.1%,0.011,239.56
01/06/16,49.88,95.82,1.0%,0.010,240.22
01/07/16,46.60,95.89,1.0%,0.010,240.10
01/08/16,47.05,95.51,0.8%,0.008,240.55
01/09/16,47.38,95.99,1.1%,0.011,241.18
01/10/16,51.41,95.42,1.5%,0.015,241.74
01/11/16,46.94,98.39,1.6%,0.016,242.03
01/12/16,55.02,101.51,1.7%,0.017,242.64
01/01/17,55.71,102.38,2.1%,0.021,243.62
01/02/17,56.10,99.56,2.5%,0.025,244.01
01/03/17,52.66,101.44,2.7%,0.027,243.89
01/04/17,53.98,100.50,2.4%,0.024,244.19
01/05/17,51.37,98.93,2.2%,0.022,244.00
01/06/17,47.65,96.99,1.9%,0.019,244.16
01/07/17,49.25,95.62,1.6%,0.016,244.24
01/08/17,51.93,92.89,1.7%,0.017,245.18
01/09/17,55.56,92.61,1.9%,0.019,246.44
01/10/17,57.54,93.29,2.2%,0.022,246.63
01/11/17,62.84,94.55,2.0%,0.020,247.28
01/12/17,64.06,93.03,2.2%,0.022,247.81
01/01/18,68.89,92.24,2.1%,0.021,248.86
01/02/18,65.70,89.04,2.1%,0.021,249.53
01/03/18,66.89,90.67,2.2%,0.022,249.58
01/04/18,71.93,89.97,2.4%,0.024,250.23
01/05/18,76.93,91.81,2.5%,0.025,250.79
01/06/18,75.80,93.95,2.8%,0.028,251.02
01/07/18,75.23,94.63,2.9%,0.029,251.21
01/08/18,73.85,94.56,2.9%,0.029,251.66
01/09/18,79.16,95.19,2.7%,0.027,252.18
01/10/18,80.78,95.11,2.3%,0.023,252.77
01/11/18,66.23,97.08,2.5%,0.025,252.59
01/12/18,57.95,97.13,2.2%,0.022,252.77
01/01/19,59.94,96.14,1.9%,0.019,252.56
01/02/19,64.38,95.55,1.6%,0.016,253.32
01/03/19,66.94,96.22,1.5%,0.015,254.28
01/04/19,71.48,97.18,1.9%,0.019,255.23
01/05/19,70.39,97.53,2.0%,0.020,255.30
01/06/19,63.21,97.64,1.8%,0.018,255.21
01/07/19,64.32,96.25,1.6%,0.016,255.80
01/08/19,59.62,98.59,1.8%,0.018,256.04
01/09/19,62.43,98.83,1.7%,0.017,256.43
01/10/19,59.63,99.40,1.7%,0.017,257.16
01/11/19,62.69,97.30,1.8%,0.018,257.88
01/12/19,65.35,98.27,2.1%,0.021,258.63
01/01/20,63.90,96.48,2.3%,0.023,258.91
01/02/20,55.69,97.37,2.5%,0.025,259.25
01/03/20,33.95,98.08,2.3%,0.023,258.15
01/04/20,26.85,99.01,1.5%,0.015,256.13
01/05/20,32.42,99.13,0.3%,0.003,255.85
01/06/20,40.86,98.30,0.1%,0.001,257.00
01/07/20,43.30,97.39,0.6%,0.006,258.41
01/08/20,45.08,93.46,1.0%,0.010,259.37
01/09/20,41.93,92.18,1.3%,0.013,259.95
01/10/20,41.61,93.80,1.4%,0.014,260.25
01/11/20,44.05,93.89,1.2%,0.012,260.90
01/12/20,50.38,91.95,1.2%,0.012,262.01
01/01/21,55.22,89.93,1.4%,0.014,262.52
01/02/21,62.36,90.53,1.4%,0.014,263.58
01/03/21,65.80,90.93,1.7%,0.017,264.91
01/04/21,65.53,93.22,2.6%,0.026,266.75
01/05/21,68.38,91.30,4.2%,0.042,268.45
01/06/21,73.51,89.81,5.0%,0.050,270.66
01/07/21,74.40,92.35,5.4%,0.054,271.99
01/08/21,70.59,92.09,5.4%,0.054,272.79
01/09/21,74.75,92.66,5.3%,0.053,273.89
01/10/21,83.87,94.31,5.4%,0.054,276.43
01/11/21,80.89,94.13,6.2%,0.062,278.80
01/12/21,74.68,95.94,6.8%,0.068,280.81
01/01/22,85.62,95.67,7.0%,0.070,282.39
01/02/22,94.27,96.70,7.5%,0.075,284.54
01/03/22,112.44,96.77,7.9%,0.079,287.55
01/04/22,106.16,98.34,8.5%,0.085,288.76
01/05/22,112.11,103.21,8.3%,0.083,291.36
01/06/22,117.69,101.76,8.6%,0.086,295.00
01/07/22,105.25,104.78,9.1%,0.091,294.98
01/08/22,97.64,105.83,8.5%,0.085,295.21
01/09/22,90.61,108.84,8.3%,0.083,296.34
01/10/22,93.72,112.17,8.2%,0.082,297.86
01/11/22,90.94,111.52,7.7%,0.077,298.65
01/12/22,81.50,105.70,7.1%,0.071,298.81
01/01/23,84.08,103.66,6.5%,0.065,300.36
01/02/23,83.63,102.10,6.4%,0.064,301.51
01/03/23,79.26,105.04,6.0%,0.060,301.74
01/04/23,83.54,102.59,5.0%,0.050,303.03
01/05/23,75.75,101.67,4.9%,0.049,303.37
01/06/23,74.98,104.15,4.0%,0.040,304.00
01/07/23,80.11,102.92,3.0%,0.030,304.63
01/08/23,85.17,101.87,3.2%,0.032,306.19
